web-scraper-order,web-scraper-start-url,weaponpagelinks,weaponpagelinks-href,Source,Chance,primerelicdrops,researchsource,market,invasion,syndicate,barokiteer,kuva
"1637019631-125","https://warframe.fandom.com/wiki/Weapons#Primaries","Ambassador","https://warframe.fandom.com/wiki/Ambassador","Main Blueprint
(Luckless Expanse, Venus Proxima
Enkidu Ice Drifts, Neptune Proxima
Fenton's Field, Pluto Proxima)","8.33%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint<br>(Lu-Yan, Veil Proxima)
</td>
<td style=""text-align:center"">16.67%
</td>
<td rowspan=""1"" style=""text-align:center"">5&nbsp;–&nbsp;6 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">38&nbsp;±&nbsp;13 C Rotations
</td></tr>
<tr>
<td>Main Blueprint<br>(Luckless Expanse, Venus Proxima<br>Enkidu Ice Drifts, Neptune Proxima<br>Fenton's Field, Pluto Proxima)
</td>
<td style=""text-align:center"">8.33%
</td>
<td rowspan=""1"" style=""text-align:center"">12&nbsp;–&nbsp;13 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">79&nbsp;±&nbsp;26 C Rotations
</td></tr>
<tr>
<td>Barrel Blueprint
</td>
<td style=""text-align:center"">5%
</td>
<td rowspan=""3"" style=""text-align:center"">36&nbsp;–&nbsp;37 kills
</td>
<td rowspan=""3"" style=""text-align:center"">156&nbsp;±&nbsp;45 kills
</td></tr>
<tr>
<td>Receiver Blueprint
</td>
<td style=""text-align:center"">5%
</td></tr>
<tr>
<td>Stock Blueprint
</td>
<td style=""text-align:center"">5%
</td></tr>","null","null","null","null","null","null"
"1637019324-24","https://warframe.fandom.com/wiki/Weapons#Primaries","Sporothrix","https://warframe.fandom.com/wiki/Sporothrix","Main Blueprint
(Stage 2 (Arcana))","7.81%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint<br>(Final Stage (Normal))
</td>
<td style=""text-align:center"">6.25%
</td>
<td rowspan=""2"" style=""text-align:center"">32&nbsp;–&nbsp;33 Final Stages
</td>
<td rowspan=""2"" style=""text-align:center"">181&nbsp;±&nbsp;60 Final Stages
</td></tr>
<tr>
<td>Barrel<br>(Final Stage (Normal))
</td>
<td style=""text-align:center"">3.75%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 1 (Arcana))
</td>
<td style=""text-align:center"">12.5%
</td>
<td rowspan=""1"" style=""text-align:center"">8 Stage One's
</td>
<td rowspan=""1"" style=""text-align:center"">52&nbsp;±&nbsp;17 Stage One's
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 2 (Arcana))
</td>
<td style=""text-align:center"">7.81%
</td>
<td rowspan=""2"" style=""text-align:center"">26&nbsp;–&nbsp;27 Stage Two's
</td>
<td rowspan=""2"" style=""text-align:center"">144&nbsp;±&nbsp;48 Stage Two's
</td></tr>
<tr>
<td>Barrel<br>(Stage 2 (Arcana))
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 3 (Arcana))
</td>
<td style=""text-align:center"">7.81%
</td>
<td rowspan=""2"" style=""text-align:center"">26&nbsp;–&nbsp;27 Stage Three's
</td>
<td rowspan=""2"" style=""text-align:center"">144&nbsp;±&nbsp;48 Stage Three's
</td></tr>
<tr>
<td>Barrel<br>(Stage 3 (Arcana))
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Barrel<br>(Final Stage (Arcana))
</td>
<td style=""text-align:center"">7.5%
</td>
<td rowspan=""1"" style=""text-align:center"">13&nbsp;–&nbsp;14 Final Stages
</td>
<td rowspan=""1"" style=""text-align:center"">89&nbsp;±&nbsp;30 Final Stages
</td></tr>","null","null","null","null","null","null"
"1637019631-126","https://warframe.fandom.com/wiki/Weapons#Primaries","Ambassador","https://warframe.fandom.com/wiki/Ambassador","Barrel Blueprint","5%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint<br>(Lu-Yan, Veil Proxima)
</td>
<td style=""text-align:center"">16.67%
</td>
<td rowspan=""1"" style=""text-align:center"">5&nbsp;–&nbsp;6 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">38&nbsp;±&nbsp;13 C Rotations
</td></tr>
<tr>
<td>Main Blueprint<br>(Luckless Expanse, Venus Proxima<br>Enkidu Ice Drifts, Neptune Proxima<br>Fenton's Field, Pluto Proxima)
</td>
<td style=""text-align:center"">8.33%
</td>
<td rowspan=""1"" style=""text-align:center"">12&nbsp;–&nbsp;13 C Rotations
</td>
<td rowspan=""1"" style=""text-align:center"">79&nbsp;±&nbsp;26 C Rotations
</td></tr>
<tr>
<td>Barrel Blueprint
</td>
<td style=""text-align:center"">5%
</td>
<td rowspan=""3"" style=""text-align:center"">36&nbsp;–&nbsp;37 kills
</td>
<td rowspan=""3"" style=""text-align:center"">156&nbsp;±&nbsp;45 kills
</td></tr>
<tr>
<td>Receiver Blueprint
</td>
<td style=""text-align:center"">5%
</td></tr>
<tr>
<td>Stock Blueprint
</td>
<td style=""text-align:center"">5%
</td></tr>","null","null","null","null","null","null"
"1637019729-165","https://warframe.fandom.com/wiki/Weapons#Primaries","Soma","https://warframe.fandom.com/wiki/Soma","","","null","null","can be purchased from the Market","null","null","null","null"
"1637019726-164","https://warframe.fandom.com/wiki/Weapons#Primaries","Prime","https://warframe.fandom.com/wiki/Soma_Prime","null","null","<tr>
<th style=""text-align:center;"">Blueprint
</th>
<th style=""text-align:center;"">Barrel
</th>
<th style=""text-align:center;"">Receiver
</th>
<th style=""text-align:center;"">Stock
</th></tr>
<tr>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith M1"" data-param2=""Void""><a href=""/wiki/Lith_M1""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_M1""><span style=""border-bottom:2px dotted;"">Lith&nbsp;M1</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso B3"" data-param2=""Void""><a href=""/wiki/Meso_B3""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_B3""><span style=""border-bottom:2px dotted;"">Meso&nbsp;B3</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo N12"" data-param2=""Void""><a href=""/wiki/Neo_N12""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_N12""><span style=""border-bottom:2px dotted;"">Neo&nbsp;N12</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo S1"" data-param2=""Void""><a href=""/wiki/Neo_S1""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_S1""><span style=""border-bottom:2px dotted;"">Neo&nbsp;S1</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith M2"" data-param2=""Void""><a href=""/wiki/Lith_M2""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_M2""><span style=""border-bottom:2px dotted;"">Lith&nbsp;M2</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso D5"" data-param2=""Void""><a href=""/wiki/Meso_D5""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_D5""><span style=""border-bottom:2px dotted;"">Meso&nbsp;D5</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo S3"" data-param2=""Void""><a href=""/wiki/Neo_S3""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_S3""><span style=""border-bottom:2px dotted;"">Neo&nbsp;S3</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith K4"" data-param2=""Void""><a href=""/wiki/Lith_K4""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_K4""><span style=""border-bottom:2px dotted;"">Lith&nbsp;K4</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith S3"" data-param2=""Void""><a href=""/wiki/Lith_S3""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_S3""><span style=""border-bottom:2px dotted;"">Lith&nbsp;S3</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo N1"" data-param2=""Void""><a href=""/wiki/Neo_N1""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_N1""><span style=""border-bottom:2px dotted;"">Neo&nbsp;N1</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo N9"" data-param2=""Void""><a href=""/wiki/Neo_N9""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_N9""><span style=""border-bottom:2px dotted;"">Neo&nbsp;N9</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Axi S4"" data-param2=""Void""><a href=""/wiki/Axi_S4""><img alt=""VoidRelicGoldIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicGoldIcon64.png"" data-image-key=""VoidRelicGoldIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/9/96/VoidRelicGoldIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191758"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Axi_S4""><span style=""border-bottom:2px dotted;"">Axi&nbsp;S4</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Axi S7"" data-param2=""Void""><a href=""/wiki/Axi_S7""><img alt=""VoidRelicGoldIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicGoldIcon64.png"" data-image-key=""VoidRelicGoldIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/9/96/VoidRelicGoldIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191758"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Axi_S7""><span style=""border-bottom:2px dotted;"">Axi&nbsp;S7</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith S2"" data-param2=""Void""><a href=""/wiki/Lith_S2""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_S2""><span style=""border-bottom:2px dotted;"">Lith&nbsp;S2</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso S1"" data-param2=""Void""><a href=""/wiki/Meso_S1""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_S1""><span style=""border-bottom:2px dotted;"">Meso&nbsp;S1</span></a></span> Rare (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td></tr>","null","null","null","null","null","null"
"1637019483-79","https://warframe.fandom.com/wiki/Weapons#Primaries","Secura","https://warframe.fandom.com/wiki/Secura_Penta","","","null","null","null","null","Syndicate","null","null"
"1637019324-36","https://warframe.fandom.com/wiki/Weapons#Primaries","Sporothrix","https://warframe.fandom.com/wiki/Sporothrix","Stock
(Final Stage (Arcana))","7.5%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint<br>(Final Stage (Normal))
</td>
<td style=""text-align:center"">6.25%
</td>
<td rowspan=""2"" style=""text-align:center"">32&nbsp;–&nbsp;33 Final Stages
</td>
<td rowspan=""2"" style=""text-align:center"">181&nbsp;±&nbsp;60 Final Stages
</td></tr>
<tr>
<td>Barrel<br>(Final Stage (Normal))
</td>
<td style=""text-align:center"">3.75%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 1 (Arcana))
</td>
<td style=""text-align:center"">12.5%
</td>
<td rowspan=""1"" style=""text-align:center"">8 Stage One's
</td>
<td rowspan=""1"" style=""text-align:center"">52&nbsp;±&nbsp;17 Stage One's
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 2 (Arcana))
</td>
<td style=""text-align:center"">7.81%
</td>
<td rowspan=""2"" style=""text-align:center"">26&nbsp;–&nbsp;27 Stage Two's
</td>
<td rowspan=""2"" style=""text-align:center"">144&nbsp;±&nbsp;48 Stage Two's
</td></tr>
<tr>
<td>Barrel<br>(Stage 2 (Arcana))
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 3 (Arcana))
</td>
<td style=""text-align:center"">7.81%
</td>
<td rowspan=""2"" style=""text-align:center"">26&nbsp;–&nbsp;27 Stage Three's
</td>
<td rowspan=""2"" style=""text-align:center"">144&nbsp;±&nbsp;48 Stage Three's
</td></tr>
<tr>
<td>Barrel<br>(Stage 3 (Arcana))
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Barrel<br>(Final Stage (Arcana))
</td>
<td style=""text-align:center"">7.5%
</td>
<td rowspan=""1"" style=""text-align:center"">13&nbsp;–&nbsp;14 Final Stages
</td>
<td rowspan=""1"" style=""text-align:center"">89&nbsp;±&nbsp;30 Final Stages
</td></tr>","null","null","null","null","null","null"
"1637019808-186","https://warframe.fandom.com/wiki/Weapons#Primaries","Buzlok","https://warframe.fandom.com/wiki/Buzlok","","","null","Chem Lab Research","null","null","null","null","null"
"1637019417-61","https://warframe.fandom.com/wiki/Weapons#Primaries","Tigris","https://warframe.fandom.com/wiki/Tigris","","","null","null","can be purchased from the Market","null","null","null","null"
"1637019324-34","https://warframe.fandom.com/wiki/Weapons#Primaries","Sporothrix","https://warframe.fandom.com/wiki/Sporothrix","Main Blueprint
(Stage 3 (Arcana))","7.81%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint<br>(Final Stage (Normal))
</td>
<td style=""text-align:center"">6.25%
</td>
<td rowspan=""2"" style=""text-align:center"">32&nbsp;–&nbsp;33 Final Stages
</td>
<td rowspan=""2"" style=""text-align:center"">181&nbsp;±&nbsp;60 Final Stages
</td></tr>
<tr>
<td>Barrel<br>(Final Stage (Normal))
</td>
<td style=""text-align:center"">3.75%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 1 (Arcana))
</td>
<td style=""text-align:center"">12.5%
</td>
<td rowspan=""1"" style=""text-align:center"">8 Stage One's
</td>
<td rowspan=""1"" style=""text-align:center"">52&nbsp;±&nbsp;17 Stage One's
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 2 (Arcana))
</td>
<td style=""text-align:center"">7.81%
</td>
<td rowspan=""2"" style=""text-align:center"">26&nbsp;–&nbsp;27 Stage Two's
</td>
<td rowspan=""2"" style=""text-align:center"">144&nbsp;±&nbsp;48 Stage Two's
</td></tr>
<tr>
<td>Barrel<br>(Stage 2 (Arcana))
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 3 (Arcana))
</td>
<td style=""text-align:center"">7.81%
</td>
<td rowspan=""2"" style=""text-align:center"">26&nbsp;–&nbsp;27 Stage Three's
</td>
<td rowspan=""2"" style=""text-align:center"">144&nbsp;±&nbsp;48 Stage Three's
</td></tr>
<tr>
<td>Barrel<br>(Stage 3 (Arcana))
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Barrel<br>(Final Stage (Arcana))
</td>
<td style=""text-align:center"">7.5%
</td>
<td rowspan=""1"" style=""text-align:center"">13&nbsp;–&nbsp;14 Final Stages
</td>
<td rowspan=""1"" style=""text-align:center"">89&nbsp;±&nbsp;30 Final Stages
</td></tr>","null","null","null","null","null","null"
