web-scraper-order,web-scraper-start-url,weaponpagelinks,weaponpagelinks-href,Source,Chance,primerelicdrops,researchsource,market,invasion,syndicate,barokiteer,kuva
"1637059839-1","https://warframe.fandom.com/wiki/Weapons#Secondaries","Fusilai","https://warframe.fandom.com/wiki/Fusilai","","","null","null","can be purchased from the Market","null","null","null","null"
"1637060061-83","https://warframe.fandom.com/wiki/Weapons#Secondaries","Atomos","https://warframe.fandom.com/wiki/Atomos","","","null","null","can be purchased from the Market","null","null","null","Kuva Lich"
"1637060130-105","https://warframe.fandom.com/wiki/Weapons#Secondaries","Hystrix","https://warframe.fandom.com/wiki/Hystrix","","","null","null","can be purchased from the Market","null","null","null","null"
"1637060117-98","https://warframe.fandom.com/wiki/Weapons#Secondaries","Stubba","https://warframe.fandom.com/wiki/Stubba","Main Blueprint
(Stage 2, Lvl 15-25)","4.69%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint
</td>
<td style=""text-align:center"">50%
</td>
<td rowspan=""1"" style=""text-align:center"">2 kills
</td>
<td rowspan=""1"" style=""text-align:center"">10&nbsp;±&nbsp;3 kills
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 2, Lvl 15-25)
</td>
<td style=""text-align:center"">4.69%
</td>
<td rowspan=""4"" style=""text-align:center"">5&nbsp;–&nbsp;6 Bounties
</td>
<td rowspan=""4"" style=""text-align:center"">32&nbsp;±&nbsp;11 Bounties
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 3, Lvl 15-25)
</td>
<td style=""text-align:center"">4.69%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 4, Lvl 15-25)
</td>
<td style=""text-align:center"">4.12%
</td></tr>
<tr>
<td>Main Blueprint<br>(Stage 5, Lvl 15-25)
</td>
<td style=""text-align:center"">5.95%
</td></tr>","null","null","null","null","null","Kuva Lich"
"1637060136-107","https://warframe.fandom.com/wiki/Weapons#Secondaries","Furis","https://warframe.fandom.com/wiki/Furis","","","null","null","can be purchased from the Market","null","Syndicate","null","null"
"1637060208-127","https://warframe.fandom.com/wiki/Weapons#Secondaries","Akjagara","https://warframe.fandom.com/wiki/Akjagara","","","null","null","can be purchased from the Market","null","null","null","null"
"1637059888-18","https://warframe.fandom.com/wiki/Weapons#Secondaries","Detron","https://warframe.fandom.com/wiki/Detron","Barrel","32.35%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint
</td>
<td style=""text-align:center"">17.65%
</td>
<td rowspan=""3"" style=""text-align:center"">7&nbsp;–&nbsp;8 kills
</td>
<td rowspan=""3"" style=""text-align:center"">36&nbsp;±&nbsp;12 kills
</td></tr>
<tr>
<td>Barrel
</td>
<td style=""text-align:center"">32.35%
</td></tr>
<tr>
<td>Receiver
</td>
<td style=""text-align:center"">32.35%
</td></tr>","null","null","null","null","sold by Baro Ki'Teer","null"
"1637060195-124","https://warframe.fandom.com/wiki/Weapons#Secondaries","Staticor","https://warframe.fandom.com/wiki/Staticor","","","null","Energy Lab Research","null","null","null","null","null"
"1637060007-60","https://warframe.fandom.com/wiki/Weapons#Secondaries","Epitaph","https://warframe.fandom.com/wiki/Epitaph","Barrel","10%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint
</td>
<td style=""text-align:center"">10%
</td>
<td rowspan=""3"" style=""text-align:center"">18&nbsp;–&nbsp;19 Void Storms
</td>
<td rowspan=""3"" style=""text-align:center"">76&nbsp;±&nbsp;22 Void Storms
</td></tr>
<tr>
<td>Barrel
</td>
<td style=""text-align:center"">10%
</td></tr>
<tr>
<td>Receiver
</td>
<td style=""text-align:center"">10%
</td></tr>","null","null","null","null","null","null"
"1637060145-110","https://warframe.fandom.com/wiki/Weapons#Secondaries","Twin Rogga","https://warframe.fandom.com/wiki/Twin_Rogga","","","null","null","can be purchased from the Market","null","null","null","null"
