web-scraper-order,web-scraper-start-url,warframepagelinks,warframepagelinks-href,Source,Chance,primerelicdrops,researchsource,market,invasion,syndicate,barokiteer,kuva
"1637016677-89","https://warframe.fandom.com/wiki/Warframes_Comparison","Nidus Prime","https://warframe.fandom.com/wiki/Nidus_Prime","null","null","<tr>
<th style=""text-align:center;"">Chassis Blueprint
</th>
<th style=""text-align:center;"">Systems Blueprint
</th>
<th style=""text-align:center;"">Blueprint
</th>
<th style=""text-align:center;"">Neuroptics Blueprint
</th></tr>
<tr>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith N7"" data-param2=""Void""><a href=""/wiki/Lith_N7""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_N7""><span style=""border-bottom:2px dotted;"">Lith&nbsp;N7</span></a></span> Rare
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso B5"" data-param2=""Void""><a href=""/wiki/Meso_B5""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_B5""><span style=""border-bottom:2px dotted;"">Meso&nbsp;B5</span></a></span> Common
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Axi A14"" data-param2=""Void""><a href=""/wiki/Axi_A14""><img alt=""VoidRelicGoldIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicGoldIcon64.png"" data-image-key=""VoidRelicGoldIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/9/96/VoidRelicGoldIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191758"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Axi_A14""><span style=""border-bottom:2px dotted;"">Axi&nbsp;A14</span></a></span> Uncommon
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo N16"" data-param2=""Void""><a href=""/wiki/Neo_N16""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_N16""><span style=""border-bottom:2px dotted;"">Neo&nbsp;N16</span></a></span> Rare
</td></tr>","null","null","null","null","null","null"
"1637016637-50","https://warframe.fandom.com/wiki/Warframes_Comparison","Saryn","https://warframe.fandom.com/wiki/Saryn","Systems Blueprint","22.56%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">38.72%
</td>
<td rowspan=""3"" style=""text-align:center"">6&nbsp;–&nbsp;7
</td>
<td rowspan=""3"" style=""text-align:center"">27&nbsp;±&nbsp;9
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">38.72%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">22.56%
</td></tr>","null","can be purchased from the Market","null","null","null","null"
"1637016559-3","https://warframe.fandom.com/wiki/Warframes_Comparison","Yareli","https://warframe.fandom.com/wiki/Yareli","","","null","Ventkid Bash Lab Research","null","null","null","null","null"
"1637016789-192","https://warframe.fandom.com/wiki/Warframes_Comparison","Excalibur Umbra","https://warframe.fandom.com/wiki/Excalibur_Umbra","","","null","null","null","null","null","null","null"
"1637016680-93","https://warframe.fandom.com/wiki/Warframes_Comparison","Nidus","https://warframe.fandom.com/wiki/Nidus","null","null","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">14.29%
</td>
<td rowspan=""3"" style=""text-align:center"">12&nbsp;–&nbsp;13 C Rotations
</td>
<td rowspan=""3"" style=""text-align:center"">52&nbsp;±&nbsp;15 C Rotations
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">14.29%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">14.29%
</td></tr>","null","null","null","null","null","null"
"1637016775-163","https://warframe.fandom.com/wiki/Warframes_Comparison","Gara Prime","https://warframe.fandom.com/wiki/Gara_Prime","null","null","<tr>
<th style=""text-align:center;"">Chassis Blueprint
</th>
<th style=""text-align:center;"">Blueprint
</th>
<th style=""text-align:center;"">Systems Blueprint
</th>
<th style=""text-align:center;"">Neuroptics Blueprint
</th></tr>
<tr>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Axi I2"" data-param2=""Void""><a href=""/wiki/Axi_I2""><img alt=""VoidRelicGoldIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicGoldIcon64.png"" data-image-key=""VoidRelicGoldIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/9/96/VoidRelicGoldIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191758"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Axi_I2""><span style=""border-bottom:2px dotted;"">Axi&nbsp;I2</span></a></span> Uncommon<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith K6"" data-param2=""Void""><a href=""/wiki/Lith_K6""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_K6""><span style=""border-bottom:2px dotted;"">Lith&nbsp;K6</span></a></span> Uncommon (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Axi G6"" data-param2=""Void""><a href=""/wiki/Axi_G6""><img alt=""VoidRelicGoldIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicGoldIcon64.png"" data-image-key=""VoidRelicGoldIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/9/96/VoidRelicGoldIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191758"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Axi_G6""><span style=""border-bottom:2px dotted;"">Axi&nbsp;G6</span></a></span> Rare
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Lith T7"" data-param2=""Void""><a href=""/wiki/Lith_T7""><img alt=""VoidRelicIronIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicIronIcon64.png"" data-image-key=""VoidRelicIronIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/6/66/VoidRelicIronIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191800"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Lith_T7""><span style=""border-bottom:2px dotted;"">Lith&nbsp;T7</span></a></span> Common<br><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Neo A5"" data-param2=""Void""><a href=""/wiki/Neo_A5""><img alt=""VoidRelicSilverIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicSilverIcon64.png"" data-image-key=""VoidRelicSilverIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/7/78/VoidRelicSilverIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191802"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Neo_A5""><span style=""border-bottom:2px dotted;"">Neo&nbsp;A5</span></a></span> Common (<a href=""/wiki/Prime_Vault"" title=""Prime Vault"">V</a>)
</td>
<td style=""text-align:center; font-size:12px;""><span class=""tooltip tooltip-full tooltips-init-complete"" data-param=""Meso P5"" data-param2=""Void""><a href=""/wiki/Meso_P5""><img alt=""VoidRelicBronzeIcon64.png"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" data-image-name=""VoidRelicBronzeIcon64.png"" data-image-key=""VoidRelicBronzeIcon64.png"" data-src=""https://static.wikia.nocookie.net/warframe/images/5/5d/VoidRelicBronzeIcon64.png/revision/latest/scale-to-width-down/19?cb=20210315191756"" class=""lazyload"" width=""19"" height=""19""></a>&nbsp;<a href=""/wiki/Meso_P5""><span style=""border-bottom:2px dotted;"">Meso&nbsp;P5</span></a></span> Uncommon
</td></tr>","null","null","null","null","null","null"
"1637016778-181","https://warframe.fandom.com/wiki/Warframes_Comparison","Gara","https://warframe.fandom.com/wiki/Gara","Neuroptics Blueprint
(Stage 3, Lvl 20-40)","9.57%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 2, Lvl 5-15)
</td>
<td style=""text-align:center"">7.52%
</td>
<td rowspan=""2"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">14&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Chassis Blueprint<br>(Stage 3, Lvl 5-15)
</td>
<td style=""text-align:center"">30.56%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 2, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td>
<td rowspan=""3"" style=""text-align:center"">2&nbsp;–&nbsp;3 Bounties
</td>
<td rowspan=""3"" style=""text-align:center"">15&nbsp;±&nbsp;5 Bounties
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 3, Lvl 20-40)
</td>
<td style=""text-align:center"">8.42%
</td></tr>
<tr>
<td>Neuroptics Blueprint<br>(Stage 4, Lvl 20-40)
</td>
<td style=""text-align:center"">20.51%
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 2, Lvl 10-30)
</td>
<td style=""text-align:center"">9.52%
</td>
<td rowspan=""2"" style=""text-align:center"">3&nbsp;–&nbsp;4 Bounties
</td>
<td rowspan=""2"" style=""text-align:center"">18&nbsp;±&nbsp;6 Bounties
</td></tr>
<tr>
<td>Systems Blueprint<br>(Stage 3, Lvl 10-30)
</td>
<td style=""text-align:center"">21.82%
</td></tr>","null","null","null","null","null","null"
"1637016589-21","https://warframe.fandom.com/wiki/Warframes_Comparison","Wisp","https://warframe.fandom.com/wiki/Wisp","Main Blueprint","22.56%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Main Blueprint
</td>
<td style=""text-align:center"">22.56%
</td>
<td rowspan=""4"" style=""text-align:center"">8&nbsp;–&nbsp;9
</td>
<td rowspan=""4"" style=""text-align:center"">29&nbsp;±&nbsp;8
</td></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">25.81%
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">25.81%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">25.81%
</td></tr>","null","null","null","null","null","null"
"1637016762-144","https://warframe.fandom.com/wiki/Warframes_Comparison","Hildryn","https://warframe.fandom.com/wiki/Hildryn","Neuroptics Blueprint","38.72%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">38.72%
</td>
<td rowspan=""3"" style=""text-align:center"">6&nbsp;–&nbsp;7 kills
</td>
<td rowspan=""3"" style=""text-align:center"">27&nbsp;±&nbsp;9 kills
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">38.72%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">22.56%
</td></tr>","null","null","null","Syndicate","null","null"
"1637016692-98","https://warframe.fandom.com/wiki/Warframes_Comparison","Nekros","https://warframe.fandom.com/wiki/Nekros","Neuroptics Blueprint","33.333%","<tr>
<th style=""width: 27.5%;"">Source
</th>
<th style=""text-align:center"">Chance
</th>
<th style=""text-align:center"">Expected
</th>
<th style=""text-align:center"">Nearly Guaranteed
</th></tr>
<tr>
<td>Chassis Blueprint
</td>
<td style=""text-align:center"">33.333%
</td>
<td rowspan=""3"" style=""text-align:center"">5&nbsp;–&nbsp;6
</td>
<td rowspan=""3"" style=""text-align:center"">20&nbsp;±&nbsp;6
</td></tr>
<tr>
<td>Neuroptics Blueprint
</td>
<td style=""text-align:center"">33.333%
</td></tr>
<tr>
<td>Systems Blueprint
</td>
<td style=""text-align:center"">33.333%
</td></tr>","null","can be purchased from the Market","null","Syndicate","null","null"
