Gauss Neuroptics ,Component,Credits,Resource,15000
Gauss Neuroptics ,Component,Argon Crystal,Resource,1
Gauss Neuroptics ,Component,Rubedo,Resource,1600
Gauss Neuroptics ,Component,Salvage,Resource,6200
Gauss Chassis ,Component,Credits,Resource,15000
Gauss Chassis ,Component,Radian Sentirum,Resource,3
Gauss Chassis ,Component,Heart Nyth,Resource,3
Gauss Chassis ,Component,Star Crimzian,Resource,6
Gauss Systems ,Component,Credits,Resource,15000
Gauss Systems ,Component,Radiant Zodian,Resource,3
Gauss Systems ,Component,Marquise Thyst,Resource,3
Gauss Systems ,Component,Mytocardia Spore,Resource,70
Mirage Neuroptics,Component,Credits,Resource,15000
Mirage Neuroptics,Component,Alloy Plate,Resource,250
Mirage Neuroptics,Component,Polymer Bundle,Resource,400
Mirage Neuroptics,Component,Neurodes,Resource,1
Mirage Chassis,Component,Credits,Resource,15000
Mirage Chassis,Component,Ferrite,Resource,2500
Mirage Chassis,Component,Plastids,Resource,450
Mirage Chassis,Component,Gallium,Resource,1
Mirage Systems,Component,Credits,Resource,15000
Mirage Systems,Component,Circuits,Resource,250
Mirage Systems,Component,Polymer Bundle,Resource,650
Mirage Systems,Component,Control Module,Resource,1
Inaros Neuroptics,Component,Credits,Resource,15000
Inaros Neuroptics,Component,Alloy Plate,Resource,1500
Inaros Neuroptics,Component,Polymer Bundle,Resource,350
Inaros Neuroptics,Component,Plastids,Resource,500
Inaros Chassis,Component,Credits,Resource,15000
Inaros Chassis,Component,Neurodes,Resource,3
Inaros Chassis,Component,Nano Spores,Resource,1000
Inaros Chassis,Component,Plastids,Resource,300
Inaros Systems,Component,Credits,Resource,15000
Inaros Systems,Component,Argon Crystal,Resource,2
Inaros Systems,Component,Polymer Bundle,Resource,300
Inaros Systems,Component,Nano Spores,Resource,1600
Nezha Neuroptics,Component,Credits,Resource,15000
Nezha Neuroptics,Component,Argon Crystal,Resource,1
Nezha Neuroptics,Component,Neural Sensors,Resource,1
Nezha Neuroptics,Component,Polymer Bundle,Resource,2100
Nezha Chassis,Component,Credits,Resource,15000
Nezha Chassis,Component,Morphics,Resource,2
Nezha Chassis,Component,Ferrite,Resource,3200
Nezha Chassis,Component,Rubedo,Resource,600
Nezha Systems,Component,Credits,Resource,15000
Nezha Systems,Component,Control Module,Resource,1
Nezha Systems,Component,Morphics,Resource,1
Nezha Systems,Component,Ferrite,Resource,5000
Garuda Neuroptics,Component,Credits,Resource,15000
Garuda Neuroptics,Component,Vega Toroid,Resource,2
Garuda Neuroptics,Component,Star Amarast,Resource,6
Garuda Neuroptics,Component,Axidrol Alloy,Resource,40
Garuda Chassis,Component,Credits,Resource,15000
Garuda Chassis,Component,Calda Toroid,Resource,2
Garuda Chassis,Component,Radiant Zodian,Resource,3
Garuda Chassis,Component,Travocyte Alloy,Resource,40
Garuda Systems,Component,Credits,Resource,15000
Garuda Systems,Component,Sola Toroid,Resource,2
Garuda Systems,Component,Marquise Thyst,Resource,3
Garuda Systems,Component,Venerdo Alloy,Resource,40
Volt Neuroptics,Component,Credits,Resource,15000
Volt Neuroptics,Component,Alloy Plate,Resource,150
Volt Neuroptics,Component,Neural Sensors,Resource,1
Volt Neuroptics,Component,Polymer Bundle,Resource,150
Volt Chassis,Component,Credits,Resource,15000
Volt Chassis,Component,Morphics,Resource,1
Volt Chassis,Component,Ferrite,Resource,1000
Volt Chassis,Component,Rubedo,Resource,300
Volt Systems,Component,Credits,Resource,15000
Volt Systems,Component,Control Module,Resource,1
Volt Systems,Component,Morphics,Resource,1
Volt Systems,Component,Salvage,Resource,500
Mag Neuroptics,Component,Credits,Resource,15000
Mag Neuroptics,Component,Alloy Plate,Resource,150
Mag Neuroptics,Component,Neural Sensors,Resource,1
Mag Neuroptics,Component,Polymer Bundle,Resource,150
Mag Chassis,Component,Credits,Resource,15000
Mag Chassis,Component,Morphics,Resource,1
Mag Chassis,Component,Ferrite,Resource,1000
Mag Chassis,Component,Rubedo,Resource,300
Mag Systems,Component,Credits,Resource,15000
Mag Systems,Component,Control Module,Resource,1
Mag Systems,Component,Morphics,Resource,1
Mag Systems,Component,Salvage,Resource,500
Baruuk Neuroptics ,Component,Credits,Resource,15000
Baruuk Neuroptics ,Component,Sola Toroid,Resource,3
Baruuk Neuroptics ,Component,Alloy Plate,Resource,2850
Baruuk Neuroptics ,Component,Hespazym Alloy,Resource,50
Baruuk Chassis ,Component,Credits,Resource,15000
Baruuk Chassis ,Component,Vega Toroid,Resource,3
