ItemName,ComponentName,ComponentAmount
Gauss,Credits,25000
Gauss,Gauss Chassis,1
Gauss,Gauss Neuroptics,1
Gauss,Gauss Systems,1
Gauss Neuroptics,Credits,15000
Gauss Neuroptics,Argon Crystal,1
Gauss Neuroptics,Rubedo,1600
Gauss Neuroptics,Salvage,6200
Gauss Neuroptics,Alloy Plate,2950
Gauss Chassis,Credits,15000
Gauss Chassis,Radian Sentirum,3
Gauss Chassis,Heart Nyth,3
Gauss Chassis,Star Crimzian,6
Gauss Chassis,Grokdrul,55
Gauss Systems,Credits,15000
Gauss Systems,Radiant Zodian,3
Gauss Systems,Marquise Thyst,3
Gauss Systems,Mytocardia Spore,70
Gauss Systems,Thermal Sludge,85
Mirage,Credits,25000
Mirage,Mirage Chassis,1
Mirage,Mirage Neuroptics,1
Mirage,Mirage Systems,1
Mirage Neuroptics,Credits,15000
Mirage Neuroptics,Alloy Plate,250
Mirage Neuroptics,Polymer Bundle,400
Mirage Neuroptics,Neurodes,1
Mirage Neuroptics,Orokin Cell,1
Mirage Chassis,Credits,15000
Mirage Chassis,Ferrite,2500
Mirage Chassis,Plastids,450
Mirage Chassis,Gallium,1
Mirage Chassis,Orokin Cell,1
Mirage Systems,Credits,15000
Mirage Systems,Circuits,250
Mirage Systems,Polymer Bundle,650
Mirage Systems,Control Module,1
Mirage Systems,Orokin Cell,1
Inaros,Credits,25000
Inaros,Inaros Chassis,1
Inaros,Inaros Neuroptics,1
Inaros,Inaros Systems,1
Inaros Neuroptics,Credits,15000
Inaros Neuroptics,Alloy Plate,1500
Inaros Neuroptics,Polymer Bundle,350
Inaros Neuroptics,Plastids,500
Inaros Neuroptics,Nitain Extract,2
Inaros Chassis,Credits,15000
Inaros Chassis,Neurodes,3
Inaros Chassis,Nano Spores,1000
Inaros Chassis,Plastids,300
Inaros Chassis,Oxium,100
Inaros Systems,Credits,15000
Inaros Systems,Argon Crystal,2
Inaros Systems,Polymer Bundle,300
Inaros Systems,Nano Spores,1600
Inaros Systems,Circuits,500
Nezha,Credits,25000
Nezha,Nezha Chassis,1
Nezha,Nezha Neuroptics,1
Nezha,Nezha Systems,1
Nezha Neuroptics,Credits,15000
Nezha Neuroptics,Argon Crystal,1
Nezha Neuroptics,Neural Sensors,1
Nezha Neuroptics,Polymer Bundle,2100
Nezha Neuroptics,Salvage,4500
Nezha Chassis,Credits,15000
Nezha Chassis,Morphics,2
Nezha Chassis,Ferrite,3200
Nezha Chassis,Rubedo,600
Nezha Chassis,Argon Crystal,1
Nezha Systems,Credits,15000
Nezha Systems,Control Module,1
Nezha Systems,Morphics,1
Nezha Systems,Ferrite,5000
Nezha Systems,Plastids,4200
Garuda,Credits,25000
Garuda,Garuda Chassis,1
Garuda,Garuda Neuroptics,1
Garuda,Garuda Systems,1
Garuda Neuroptics,Credits,15000
Garuda Neuroptics,Vega Toroid,2
