PlanetName,MissionName,MissionType
Ceres,Thon,Sabotage
Ceres,Gabii,Survival
Ceres,Ludi,Hijack
Ceres,Seimeni,Defense
Ceres,Ker,Sabotage
Ceres,Exta,Assassination
Ceres,Cinxia,Interception
Ceres,Draco,Survival
Ceres,Pallas,Exterminate
Ceres,Lex,Capture
Ceres,Nuovo,Rescue
Ceres,Jupiter Junction,Solar Rail Junction
Ceres,Bode,Spy
Ceres,Kiste,Mobile Defense
Ceres,Casta,Defense
Deimos,Terrorem,Survival
Deimos,Horend,Capture
Deimos,Phlegyas,Exterminate
Deimos,Formido,Sabotage
Deimos,Dirus,Mobile Defense
Deimos,Hyf,Defense
Deimos,Magnacidium,Assassination
Deimos,Cambion Drift,Free Roam
Deimos,Terrorem,Survival
Deimos,Exequias,Assassination
Earth,Mariana,Exterminate
Earth,E Prime,Exterminate
Earth,Venus Junction,Solar Rail Junction
Earth,Cervantes,Sabotage
Earth,Plains of Eidolon,Free Roam
Earth,Cambria,Spy
Earth,Everest,Excavation
Earth,Lith,Defense
Earth,Oro,Assassination
Earth,Mantle,Capture
Earth,Erpo,Mobile Defense
Earth,Mars Junction,Solar Rail Junction
Earth,Gaia,Interception
Earth,Pacific,Rescue
Earth,Coba,Defense
Earth,Tikal,Excavation
Earth,Eurasia,Mobile Defense
Eris,Mutalist Alad V Assassinate,Assassination
Eris,Kala-azar,Defense
Eris,Jordas Golem Assassinate,Assassination
Eris,Brugia,Rescue
Eris,Oestrus,Infested Salvage
Eris,Solium,Mobile Defense
Eris,Naeglar,Sabotage
Eris,Akkad,Defense
Eris,Isos,Capture
Eris,Xini,Interception
Eris,Nimus,Survival
Eris,Zabala,Survival
Eris,Saxis,Exterminate
Europa,Valefor,Excavation
Europa,Valac,Spy
Europa,Baal,Exterminate
Europa,Armaros,Exterminate
Europa,Morax,Mobile Defense
Europa,Ose,Interception
Europa,Kokabiel,Sabotage
Europa,Orias,Rescue
Europa,Naamah,Assassination
Europa,Cholistan,Excavation
Europa,Paimon,Defense
Europa,Larzac,Defense
Europa,Abaddon,Capture
Europa,Sorath,Hijack
Jupiter,Cameria,Survival
Jupiter,Galilea,Sabotage
Jupiter,Io,Defense
Jupiter,Carpo,Exterminate
Jupiter,Ananke,Capture
Jupiter,Callisto,Interception
Jupiter,Saturn Junction,Solar Rail Junction
Jupiter,Sinai,Defense
Jupiter,Adrastea,Sabotage
Jupiter,Thebe,Sabotage
Jupiter,Metis,Rescue
Jupiter,Carme,Mobile Defense
Jupiter,Themisto,Assassination
Jupiter,Ganymede,Disruption
Jupiter,The Ropalolyst,Assassination
Jupiter,Europa Junction,Solar Rail Junction
Jupiter,Elara,Survival
Jupiter,Amalthea,Spy
Kuva Fortress,Garus,Rescue
Kuva Fortress,Tamu,Disruption
Kuva Fortress,Taveuni,Survival
Kuva Fortress,Dakata,Exterminate
Kuva Fortress,Koro,Assault
Kuva Fortress,Nabuk,Defense
Kuva Fortress,Pago,Spy
Kuva Fortress,Rotuma,Mobile Defense
Lua,Pavlov,Spy
Lua,Grimaldi,Mobile Defense
Lua,Stöfler,Defense
Lua,Zeipel,Rescue
Lua,Copernicus,Capture
Lua,Tycho,Survival
Lua,Apollo,Disruption
Lua,Plato,Exterminate
Mars,Augustus,Excavation
Mars,Arval,Spy
Mars,Gradivus,Sabotage
Mars,Olympus,Disruption
Mars,Spear,Defense
Mars,War,Assassination
Mars,Ultor,Exterminate
Mars,Kadesh,Defense
Mars,Tharsis,Mobile Defense
Mars,Martialis,Rescue
Mars,Syrtis,Exterminate
Mars,Ara,Capture
Mars,Wahiba,Survival
Mars,Hellas,Exterminate
Mars,Vallis,Mobile Defense
Mars,Alator,Interception
Mars,Ceres Junction,Solar Rail Junction
Mars,Phobos Junction,Solar Rail Junction
Mars,Ares,Sabotage
Mercury,Tolstoj,Assassination
Mercury,Boethius,Mobile Defense
Mercury,Caloris,Rescue
Mercury,Terminus,Sabotage
