Name,MasteryRankRequired
Ack & Brunt,3
Amphis,5
Anku,3
Ankyros,2
Ankyros Prime,8
Arca Titron,10
Arum Spinosa,11
Atterax,5
Bo,4
Bo Prime,5
Boltace,4
Broken Scepter,7
Broken War,10
Cadus,4
Cassowar,5
Cautacyst,7
Ceramic Dagger,3
Cerata,7
Ceti Lacera,12
Cobra & Crane,10
Cronus,0
Dakra Prime,10
Dark Dagger,2
Dark Split-Sword,5
Dark Sword,8
Desert Wind,0
Destreza,7
Destreza Prime,10
Dex Dakra,6
Diwata,0
Dragon Nikana,8
Dual Cleavers,5
Dual Ether,8
Dual Heat Swords,3
Dual Ichor,6
Dual Kamas,1
Dual Kamas Prime,8
Dual Keres,7
Dual Raza,6
Dual Skana,0
Dual Zoren,2
Endura,7
Ether Daggers,6
Ether Reaper,4
Ether Sword,7
Exalted Blade,0
Falcor,8
Fang,0
Fang Prime,10
Fragor,2
Fragor Prime,12
Furax,5
Furax Wraith,9
Galatine,3
Galatine Prime,13
Galvacord,6
Garuda’s Talons,0
Gazal Machete,5
Glaive,1
Glaive Prime,10
Gram,2
Gram Prime,14
Guandao,4
Guandao Prime,12
Gunsen,8
Halikar,7
Halikar Wraith,13
Hate,8
Heat Dagger,3
Heat Sword,3
Heliocor,9
Hirudo,7
Iron Staff,0
Jat Kittag,5
Jat Kusar,11
Jaw Sword,0
Kama,1
Karyst,6
Karyst Prime,12
Keratinos,9
Kesheg,7
Kestrel,0
Kogake,2
Kogake Prime,10
Korrudo,9
Kreska,6
Krohkur,9
Kronen,3
Kronen Prime,13
Kuva Shildeg,13
Lacera,7
Lecta,0
Lesion,9
Machete,1
Machete Wraith,11
Magistar,1
Masseter,8
Mios,8
Mire,5
