Name,MasteryRankRequired
Excalibur,0
Ash,0
Atlas,0
Banshee,0
Baruuk,0
Chroma,0
Ember,0
Equinox,0
Frost,0
Gara,0
Garuda,0
Gauss,0
Grendel,0
Harrow,0
Hildryn,0
Hydroid,0
Inaros,0
Ivara,0
Khora,0
Lavos,0
Limbo,0
Loki,0
Mag,0
Mesa,0
Nekros,0
Nezha,0
Nidus,0
Nova,0
Nyx,0
Oberon,0
Octavia,0
Protea,0
Revenant,0
Saryn,0
Sevagoth,0
Titania,0
Trinity,0
Valkyr,0
Vauban,0
Wisp,0
Wukong,0
Yareli,0
Zephyr,0
Ash Prime,0
Atlas Prime,0
Banshee Prime,8
Chroma Prime,6
Ember Prime,0
Equinox Prime,5
Excalibur Prime,0
Excalibur Umbra,0
Frost Prime,0
Gara Prime,0
Hydroid Prime,5
Inaros Prime,0
Ivara Prime,0
Limbo Prime,4
Loki Prime,0
Mag Prime,0
Mesa Prime,2
Mirage Prime,8
Nekros Prime,0
Nezha Prime,0
Nova Prime,0
Nyx Prime,0
Oberon Prime,8
Octavia Prime,0
Rhino Prime,0
Saryn Prime,0
Octavia Prime,0
Titania Prime,2
Trinity Prime,0
Valkyr Prime,0
Vauban Prime,0
Volt Prime,0
Wukong Prime,5
Zephyr Prime,6
