ItemName,CreditsCost,DucatsCost,SaleDate
Ki'teer Sekhara,200000,400,2016-08-12
Ki'teer Sekhara,200000,400,2016-11-04
Ki'teer Sekhara,200000,400,2017-05-05
Ki'teer Sekhara,200000,400,2017-10-06
Ki'teer Sekhara,200000,400,2018-02-23
Ki'teer Sekhara,200000,400,2018-06-15
Ki'teer Sekhara,200000,400,2018-10-05
Ki'teer Sekhara,200000,400,2019-01-11
Ki'teer Sekhara,200000,400,2019-04-19
Ki'teer Sekhara,200000,400,2019-08-30
Ki'teer Sekhara,200000,400,2020-01-03
Ki'teer Sekhara,200000,400,2020-05-22
Ki'teer Sekhara,200000,400,2020-08-28
Ki'teer Sekhara,200000,400,2021-01-15
Ki'teer Sekhara,200000,400,2021-06-18
Primed Fever Strike,200000,350,2017-11-17
Primed Fever Strike,200000,350,2018-04-06
Primed Fever Strike,200000,350,2018-09-07
Primed Fever Strike,200000,350,2018-12-28
Primed Fever Strike,200000,350,2019-03-08
Primed Fever Strike,200000,350,2019-06-28
Primed Fever Strike,200000,350,2019-10-25
Primed Fever Strike,200000,350,2020-03-27
Primed Fever Strike,200000,350,2020-10-09
Primed Fever Strike,200000,350,2021-04-09
Primed Fever Strike,200000,350,2021-11-05
Cookie Kavat Glyph,50000,80,2018-11-30
Cookie Kavat Glyph,50000,80,2018-12-14
Cookie Kavat Glyph,50000,80,2018-12-28
Cookie Kavat Glyph,50000,80,2019-12-06
Cookie Kavat Glyph,50000,80,2019-12-20
Cookie Kavat Glyph,50000,80,2020-12-04
Cookie Kavat Glyph,50000,80,2020-12-18
Primed Cleanse Grineer,140000,350,2020-05-08
Primed Cleanse Grineer,140000,350,2020-12-04
Primed Cleanse Grineer,140000,350,2021-06-18
Primed Smite Grineer,140000,350,2019-12-20
Primed Smite Grineer,140000,350,2020-07-17
Primed Smite Grineer,140000,350,2021-01-29
Primed Smite Grineer,140000,350,2021-08-13
Prisma Daedalus Chest Plate,100000,150,2015-05-01
Prisma Daedalus Chest Plate,100000,150,2015-09-04
Prisma Daedalus Chest Plate,100000,150,2016-04-22
Prisma Daedalus Chest Plate,100000,150,2016-08-26
Prisma Daedalus Chest Plate,100000,150,2016-12-30
Prisma Daedalus Chest Plate,100000,150,2017-05-19
Prisma Daedalus Chest Plate,100000,150,2017-10-06
Prisma Daedalus Chest Plate,100000,150,2018-04-06
Prisma Daedalus Chest Plate,100000,150,2018-06-01
Prisma Daedalus Chest Plate,100000,150,2018-09-21
Prisma Daedalus Chest Plate,100000,150,2018-12-28
Prisma Daedalus Chest Plate,100000,150,2019-04-19
Prisma Daedalus Chest Plate,100000,150,2019-08-02
Prisma Daedalus Chest Plate,100000,150,2019-11-22
Prisma Daedalus Chest Plate,100000,150,2019-12-06
Prisma Daedalus Chest Plate,100000,150,2020-04-10
Prisma Daedalus Chest Plate,100000,150,2020-08-14
Prisma Daedalus Chest Plate,100000,150,2020-12-18
Prisma Daedalus Chest Plate,100000,150,2021-04-23
Prisma Daedalus Chest Plate,100000,150,2021-09-10
Primed Cleanse Corrupted,140000,350,2020-05-08
Primed Cleanse Corrupted,140000,350,2020-11-20
Primed Cleanse Corrupted,140000,350,2021-05-07
Harkonar Wraith Cloak,500000,400,2018-10-05
Harkonar Wraith Cloak,500000,400,2019-02-08
Harkonar Wraith Cloak,500000,400,2019-05-17
Harkonar Wraith Cloak,500000,400,2019-09-13
Harkonar Wraith Cloak,500000,400,2020-01-17
Harkonar Wraith Cloak,500000,400,2020-05-22
Harkonar Wraith Cloak,500000,400,2020-09-25
Harkonar Wraith Cloak,500000,400,2021-01-29
Harkonar Wraith Cloak,500000,400,2021-06-18
Harkonar Wraith Cloak,500000,400,2021-11-05
Mahd Luxxum Ornament,100000,100,2019-09-13
Mahd Luxxum Ornament,100000,100,2020-01-31
Mahd Luxxum Ornament,100000,100,2020-05-08
Mahd Luxxum Ornament,100000,100,2020-10-09
Mahd Luxxum Ornament,100000,100,2021-03-12
Mahd Luxxum Ornament,100000,100,2021-09-10
5 x Corrupted Heavy Gunner Specter,40000,100,2018-05-04
5 x Corrupted Heavy Gunner Specter,40000,100,2018-09-07
5 x Corrupted Heavy Gunner Specter,40000,100,2018-12-28
5 x Corrupted Heavy Gunner Specter,40000,100,2019-05-17
5 x Corrupted Heavy Gunner Specter,40000,100,2019-08-16
5 x Corrupted Heavy Gunner Specter,40000,100,2019-12-06
5 x Corrupted Heavy Gunner Specter,40000,100,2020-04-10
5 x Corrupted Heavy Gunner Specter,40000,100,2020-08-14
5 x Corrupted Heavy Gunner Specter,40000,100,2020-12-04
5 x Corrupted Heavy Gunner Specter,40000,100,2021-01-01
5 x Corrupted Heavy Gunner Specter,40000,100,2021-05-07
5 x Corrupted Heavy Gunner Specter,40000,100,2021-09-10
Bronze Kavat Bust,250000,220,2019-07-19
Bronze Kavat Bust,250000,220,2020-01-17
Bronze Kavat Bust,250000,220,2020-06-05
Bronze Kavat Bust,250000,220,2020-11-06
Bronze Kavat Bust,250000,220,2021-04-09
Bronze Kavat Bust,250000,220,2021-04-23
Bronze Kavat Bust,250000,220,2021-09-24
Primed Smite Infested,140000,350,2019-12-20
Primed Smite Infested,140000,350,2020-07-17
Primed Smite Infested,140000,350,2021-08-13
Primed Point Blank,110000,300,2014-12-26
Primed Point Blank,110000,300,2015-08-21
Primed Point Blank,110000,300,2015-12-25
Primed Point Blank,110000,300,2016-06-03
Primed Point Blank,110000,300,2016-06-17
Primed Point Blank,110000,300,2016-12-16
Primed Point Blank,110000,300,2017-05-05
Primed Point Blank,110000,300,2017-09-22
Primed Point Blank,110000,300,2018-02-23
Primed Point Blank,110000,300,2018-07-13
Primed Point Blank,110000,300,2018-11-30
Primed Point Blank,110000,300,2019-05-03
Primed Point Blank,110000,300,2019-08-30
Primed Point Blank,110000,300,2019-12-06
Primed Point Blank,110000,300,2020-06-19
Primed Point Blank,110000,300,2021-01-01
Primed Point Blank,110000,300,2021-07-16
Prisma Avia Chest Plate,220000,250,2019-04-19
Prisma Avia Chest Plate,220000,250,2019-08-16
Prisma Avia Chest Plate,220000,250,2019-12-20
Prisma Avia Chest Plate,220000,250,2020-04-24
Prisma Avia Chest Plate,220000,250,2020-08-28
Prisma Avia Chest Plate,220000,250,2021-01-15
Prisma Avia Chest Plate,220000,250,2021-05-21
Prisma Avia Chest Plate,220000,250,2021-10-22
Left Prisma Latron Shoulder Plate,220000,325,2020-01-31
Left Prisma Latron Shoulder Plate,220000,325,2020-06-05
Left Prisma Latron Shoulder Plate,220000,325,2020-10-09
Left Prisma Latron Shoulder Plate,220000,325,2021-02-26
Left Prisma Latron Shoulder Plate,220000,325,2021-07-16
