ResultName,ResultCategory,ComponentName,ComponentCategory,ComponentCount
Ash,Warframe,Ash Neuroptics,Resource,1
Ash,Warframe,Ash Chassis,Resource,1
Ash,Warframe,Ash Systems,Resource,1
Orokin Cell,Resource,Alloy Plate,Resource,50000
Orokin Cell,Resource,Nano Spores,Resource,50000
Orokin Cell,Resource,Salvage,Resource,25000
Ash Neuroptics,Component,Credits,Resource,15000
Ash Neuroptics,Component,Alloy Plate,Resource,150
Ash Neuroptics,Component,Neural Sensors,Resource,1
Ash Neuroptics,Component,Polymer Bundle,Resource,150
Ash Neuroptics,Component,Rubedo,Resource,500
