Name,MasteryRankRequired
Acrid,7
Afuris,4
Akarius,8
Akbolto,9
Akbolto Prime,13
Akbronco,2
Akbronco Prime,10
Akjagara,8
Akjagara Prime,12
Aklato,3
Aklex,4
Aklex Prime,15
Akmagnus,12
Aksomati,9
Aksomati Prime,12
Akstiletto,8
Akstiletto Prime,10
Akvasto,8
Akvasto Prime,12
Akszani,4
Angstrum,4
Arca Scisco,10
Athodai,10
Atomos,5
Azima,6
Balefire Charger,0
Ballistica,2
Ballistica Prime,14
Bolto,7
Brakk,6
Bronco,0
Bronco Prime,4
Castanas,3
Catabolyst,11
Cestra,4
Cyanex,8
Cycron,8
Despair,4
Detron,6
Dex Furis,10
Dex Pixia,0
Dual Cestra,7
Dual Toxocyst,11
Embolist,9
Epitaph,8
Euphona Prime,14
Furis,2
Fusilai,7
Gammacor,2
Hikou,2
Hikou Prime,4
Hystrix,7
Knell,10
Kohomak,5
Kompressa,8
Kraken,0
Kulstar,5
Kunai,2
Kuva Brakk,13
Kuva Kraken,15
Kuva Nukor,13
Kuva Seer,15
Kuva Twin Stubbas,13
Lato,0
Lato Prime,14
Lato Vandal,7
Lex,3
Lex Prime,8
Magnus,10
Mara Detron,9
Marelok,7
MK1-Furis,0
MK1-Kunai,0
Nukor,4
Ocucor,8
Pandero,8
Pandero Prime,14
Plinx,6
Pox,9
Prisma Angstrum,8
Prisma Twin Gremlins,11
Pyrana,12
Pyrana Prime,13
Quatz,9
Rakta Ballistica,6
Regulators,0
Sancti Castanas,10
Secura Dual Cestra,10
Seer,0
Sepulcrum,14
Sicarus,3
Sicarus Prime,14
Sonicor,2
Spectra,4
Spectra Vandal,10
Spira,8
Spira Prime,10
Staticor,10
Stubba,7
Stug,2
Synoid Gammacor,7
Talons,8
Telos Akbolto,11
Tenet Cycron,14
Tenet Detron,16
Tenet Diplos,16
Tenet Spirex,14
Twin Grakatas,9
